Sample,ADC Value,Voltage
1,4095,3.300
2,2597,2.093
3,2344,1.889
4,2389,1.925
5,2444,1.970
6,2579,2.078
7,2667,2.149
8,2760,2.224
9,2842,2.290
10,2936,2.366
