Sample,ADC Value,Voltage
1,4095,3.300
2,4095,3.300
3,4095,3.300
4,4095,3.300
5,4095,3.300
6,4095,3.300
7,4095,3.300
8,4095,3.300
9,4095,3.300
10,4095,3.300
